Internal Reference,sku,Name,Website Product Category,Brand,Sales Price
AROY-UR340-128GBK,05-02-0429,ADATA - UR340 - 128GB - USB Flash Drive  - Black ,ACCESSORIES / STORAGE DEVICES / FLASH DRIVES,ADATA,4.50
AROY-UR340-32GBK,05-02-0427,ADATA - UR340 - 32GB - USB Flash Drive - Black,ACCESSORIES / STORAGE DEVICES / FLASH DRIVES,ADATA,2.90
AROY-UR340-64GBK,05-02-0428,ADATA - UR340 - 64GB - USB Flash Drive - Black ,ACCESSORIES / STORAGE DEVICES / FLASH DRIVES,ADATA,3.75
AUV250-16G-RBK,05-02-0424,ADATA - UV250 - 16GB - USB Flash Drive - Black,ACCESSORIES / STORAGE DEVICES / FLASH DRIVES,ADATA,1.90
AUV250-32G-RBK,05-02-0425,ADATA - UV250 - 32GB - USB Flash Drive - Black,ACCESSORIES / STORAGE DEVICES / FLASH DRIVES,ADATA,2.75
AUV250-64G-RBK,05-02-0426,ADATA - UV250 - 64GB - USB Flash Drive - Black ,ACCESSORIES / STORAGE DEVICES / FLASH DRIVES,ADATA,3.50
AEC700GU32G2-CGY,04-06-0115,ADATA EC700G - USB 3 Gen 2 Type-C M.2 2280 / 2242 / 2230 - Enclosure Case Adapter - SSD External Portable - Black,ACCESSORIES / STORAGE DEVICES / EXTERNAL SSD,ADATA,14.90
AFALCON-512G-C,04-04-0012,ADATA FALCON 512GB SSD Internal Solid State Drive - Gold,PC COMPONENTS / SSD & HDD,ADATA,19.90
AX4U32008G16A-SBKD35,04-06-0197,ADATA GAMMIX D35 DDR4 - Speed 3200MT/s - 8GB Memory - Single Pack - Memory RAM - Black,PC COMPONENTS / COMPUTER MEMORY,ADATA,7.50
AX4U32008G16A-SWHD35,04-06-0196,ADATA GAMMIX D35 DDR4 - Speed 3200MT/s - 8GB Memory - Single Pack - Memory RAM - White,PC COMPONENTS / COMPUTER MEMORY,ADATA,7.50
ALEG-800-1000GCS,04-04-0191,ADATA LEGEND 800 - 1TB PCIe Gen4 x4 M.2 2280 Solid State Drive - Gold,PC COMPONENTS / SSD & HDD,ADATA,16.00
ALEG-800-2000GCS,04-04-0192,ADATA LEGEND 800 - 2TB PCIe Gen4 x4 M.2 2280 Solid State Drive - Gold,PC COMPONENTS / SSD & HDD,ADATA,27.50
ALEG-850L-500GCS,04-04-0183,ADATA Legend 850 Lite 500 GB PCIe Gen4 x4 M.2 2280 SSD - Work With PS5 - Solid State Drive,PC COMPONENTS / SSD & HDD,ADATA,19.90
ASD600Q-960GU31-CBK,04-04-0193,ADATA SD600Q - 960GB - Ultra-Speed Portable Durable External SSD - Up to 440MB/s - 3D NAND USB 3.2 - Solid State Drive - Black,ACCESSORIES / STORAGE DEVICES / EXTERNAL SSD,ADATA,19.90
ASD700-256GU31-CBK,04-04-0020,ADATA SD700 3D NAND 256GB SSD - Portable External Solid State Drive - Black,ACCESSORIES / STORAGE DEVICES / EXTERNAL SSD,ADATA,14.90
ASD700-256GU31-CYL,04-20-0001,ADATA SD700 3D NAND 256GB SSD Portable External Solid State Drive - Yellow,ACCESSORIES / STORAGE DEVICES / EXTERNAL SSD,ADATA,14.90
ASD700-512GU31-CBK,04-04-0021,ADATA SD700 3D NAND 512GB SSD Portable External Solid State Drive - Black,ACCESSORIES / STORAGE DEVICES / EXTERNAL SSD,ADATA,22.50
ASD700-512GU31-CYL,04-04-0047,ADATA SD700 3D NAND 512GB SSD Portable External Solid State Drive - Yellow,ACCESSORIES / STORAGE DEVICES / EXTERNAL SSD,ADATA,22.50
ASE800-1TU32G2-CBK,05-02-0570,ADATA SE800 - 1TB IP68 Rugged - Up to 1000 MB/s - Super Speed USB 3.2 Gen 2 USB-C - External Solid State Drive Portable SSD - Black,ACCESSORIES / STORAGE DEVICES / EXTERNAL SSD,ADATA,24.90
AELI-SE880-1TCGY,05-02-0571,ADATA SE880 - 1TB - Up to 2000 MB/s - Super Speed USB 3.2 Gen 2x2 USB-C - External Solid State Drive Portable SSD - Titanium,ACCESSORIES / STORAGE DEVICES / EXTERNAL SSD,ADATA,29.90
ASE900G-1TU32G2-CBK,04-04-0071,ADATA SE900G 1TB SSD Portable External Solid State Drive - Black,ACCESSORIES / STORAGE DEVICES / EXTERNAL SSD,ADATA,55.00
AX4U32008G16A-SBKD35G,04-06-0198,ADATA SPECTRIX D35G DDR4 - Speed 3200MT/s - 8GB RGB Memory - Single Pack - Memory RAM - Black,PC COMPONENTS / COMPUTER MEMORY,ADATA,8.50
AX4U32008G16A-SWHD35G,04-06-0199,ADATA SPECTRIX D35G DDR4 - Speed 3200MT/s - 8GB RGB Memory - Single Pack - Memory RAM - White,PC COMPONENTS / COMPUTER MEMORY,ADATA,8.50
ASWORDFISH-500G-C,04-04-0040,ADATA SWORDFISH 500GB SSD Internal Solid State Drive - Silver,PC COMPONENTS / SSD & HDD,ADATA,18.00
ASU650SS-240GT-R,04-04-0019,ADATA Ultimate 3D NAND 240GB SSD - Internal Solid State Drive - Black,PC COMPONENTS / SSD & HDD,ADATA,4.90
ASU650SS-480GT-R,04-04-0018,ADATA Ultimate 3D NAND 480GB SSD - Internal Solid State Drive - Black,PC COMPONENTS / SSD & HDD,ADATA,7.90
ASU650SS-960GT-R,04-04-0045,ADATA Ultimate 3D NAND 960GB SSD Internal Solid State Drive - Black,PC COMPONENTS / SSD & HDD,ADATA,12.90
AX5U7200C3416G-DCLARBK,04-06-0180,ADATA XPG LANCER RGB - 32GB (2x16GB) DDR5 7200Mhz - Gaming Memory RAM - Black ,PC COMPONENTS / COMPUTER MEMORY,ADATA,69.90
AX5U6000C3032G-DCLARBK,04-06-0181,ADATA XPG LANCER RGB - 64GB (2x32GB) DDR5 6000Mhz - Gaming Memory RAM - Black ,PC COMPONENTS / COMPUTER MEMORY,ADATA,84.90
AHD680-1TU31-CBK,04-04-0151,AData HD680 External Hard Drive 1TB - Black,ACCESSORIES / STORAGE DEVICES / EXTERNAL SSD,ADATA,17.90
AHD680-1TU31-CBL,04-04-0152,AData HD680 External Hard Drive 1TB - Blue,ACCESSORIES / STORAGE DEVICES / EXTERNAL SSD,ADATA,17.90
AHD680-2TU31-CBK,04-04-0153,AData HD680 External Hard Drive 2TB - Black,ACCESSORIES / STORAGE DEVICES / EXTERNAL SSD,ADATA,23.90
AHD680-2TU31-CBL,04-04-0154,AData HD680 External Hard Drive 2TB - Blue,ACCESSORIES / STORAGE DEVICES / EXTERNAL SSD,ADATA,23.90
22B2HM,22B2HM,AOC 21.5â€³ Flicker Free Ultra Slim Monitor,PC COMPONENTS / GAMING MONITORS,AOC,38.00
24B1H,24B1H,AOC 24B1H 24 Inch FHD 60Hz LCD Gaming Monitor,PC COMPONENTS / GAMING MONITORS,AOC,45.00
