sku,name,categories,price,product_type,errors
05-02-0429,"ADATA - UR340 - 128GB - USB Flash Drive  - Black ","ACCESSORIES / STORAGE DEVICES / FLASH DRIVES",4.5,simple,"Invalid value for Attribute Set column (set doesn't exist?)"
05-02-0427,"ADATA - UR340 - 32GB - USB Flash Drive - Black","ACCESSORIES / STORAGE DEVICES / FLASH DRIVES",2.9,,"Product Type is invalid or not supported"
05-02-0428,"ADATA - UR340 - 64GB - USB Flash Drive - Black ","ACCESSORIES / STORAGE DEVICES / FLASH DRIVES",3.75,,"Product Type is invalid or not supported"
05-02-0424,"ADATA - UV250 - 16GB - USB Flash Drive - Black","ACCESSORIES / STORAGE DEVICES / FLASH DRIVES",1.9,,"Product Type is invalid or not supported"
05-02-0425,"ADATA - UV250 - 32GB - USB Flash Drive - Black","ACCESSORIES / STORAGE DEVICES / FLASH DRIVES",2.75,,"Product Type is invalid or not supported"
05-02-0426,"ADATA - UV250 - 64GB - USB Flash Drive - Black ","ACCESSORIES / STORAGE DEVICES / FLASH DRIVES",3.5,,"Product Type is invalid or not supported"
04-06-0115,"ADATA EC700G - USB 3 Gen 2 Type-C M.2 2280 / 2242 / 2230 - Enclosure Case Adapter - SSD External Portable - Black","ACCESSORIES / STORAGE DEVICES / EXTERNAL SSD",14.9,,"Product Type is invalid or not supported"
04-04-0012,"ADATA FALCON 512GB SSD Internal Solid State Drive - Gold","PC COMPONENTS / SSD & HDD",19.9,,"Product Type is invalid or not supported"
04-06-0197,"ADATA GAMMIX D35 DDR4 - Speed 3200MT/s - 8GB Memory - Single Pack - Memory RAM - Black","PC COMPONENTS / COMPUTER MEMORY",7.5,,"Product Type is invalid or not supported"
04-06-0196,"ADATA GAMMIX D35 DDR4 - Speed 3200MT/s - 8GB Memory - Single Pack - Memory RAM - White","PC COMPONENTS / COMPUTER MEMORY",7.5,,"Product Type is invalid or not supported"
04-04-0191,"ADATA LEGEND 800 - 1TB PCIe Gen4 x4 M.2 2280 Solid State Drive - Gold","PC COMPONENTS / SSD & HDD",16,,"Product Type is invalid or not supported"
04-04-0192,"ADATA LEGEND 800 - 2TB PCIe Gen4 x4 M.2 2280 Solid State Drive - Gold","PC COMPONENTS / SSD & HDD",27.5,,"Product Type is invalid or not supported"
04-04-0183,"ADATA Legend 850 Lite 500 GB PCIe Gen4 x4 M.2 2280 SSD - Work With PS5 - Solid State Drive","PC COMPONENTS / SSD & HDD",19.9,,"Product Type is invalid or not supported"
04-04-0193,"ADATA SD600Q - 960GB - Ultra-Speed Portable Durable External SSD - Up to 440MB/s - 3D NAND USB 3.2 - Solid State Drive - Black","ACCESSORIES / STORAGE DEVICES / EXTERNAL SSD",19.9,,"Product Type is invalid or not supported"
04-04-0020,"ADATA SD700 3D NAND 256GB SSD - Portable External Solid State Drive - Black","ACCESSORIES / STORAGE DEVICES / EXTERNAL SSD",14.9,,"Product Type is invalid or not supported"
04-20-0001,"ADATA SD700 3D NAND 256GB SSD Portable External Solid State Drive - Yellow","ACCESSORIES / STORAGE DEVICES / EXTERNAL SSD",14.9,,"Product Type is invalid or not supported"
04-04-0021,"ADATA SD700 3D NAND 512GB SSD Portable External Solid State Drive - Black","ACCESSORIES / STORAGE DEVICES / EXTERNAL SSD",22.5,,"Product Type is invalid or not supported"
04-04-0047,"ADATA SD700 3D NAND 512GB SSD Portable External Solid State Drive - Yellow","ACCESSORIES / STORAGE DEVICES / EXTERNAL SSD",22.5,,"Product Type is invalid or not supported"
05-02-0570,"ADATA SE800 - 1TB IP68 Rugged - Up to 1000 MB/s - Super Speed USB 3.2 Gen 2 USB-C - External Solid State Drive Portable SSD - Black","ACCESSORIES / STORAGE DEVICES / EXTERNAL SSD",24.9,,"Product Type is invalid or not supported"
05-02-0571,"ADATA SE880 - 1TB - Up to 2000 MB/s - Super Speed USB 3.2 Gen 2x2 USB-C - External Solid State Drive Portable SSD - Titanium","ACCESSORIES / STORAGE DEVICES / EXTERNAL SSD",29.9,,"Product Type is invalid or not supported"
04-04-0071,"ADATA SE900G 1TB SSD Portable External Solid State Drive - Black","ACCESSORIES / STORAGE DEVICES / EXTERNAL SSD",55,,"Product Type is invalid or not supported"
04-06-0198,"ADATA SPECTRIX D35G DDR4 - Speed 3200MT/s - 8GB RGB Memory - Single Pack - Memory RAM - Black","PC COMPONENTS / COMPUTER MEMORY",8.5,,"Product Type is invalid or not supported"
